,Fixed Acidity,Volatile Acidity,Citric Acid,Residual Sugar,Chlorides,Free Sulfur Dioxide,Total Sulfur Dioxide,Density,Ph,Sulphates,Alcohol,Quality
810,7.3 g/L,0.49 g/L,0.1 g/L,2.6 g/L,0.068 g/L,4.0 mg/L SO2,14.0 mg/L SO2,0.99562 g/cm³,pH 3.3,0.47 g/L,10.5% vol,Score: 5
811,12.9 g/L,0.5 g/L,0.55 g/L,2.8 g/L,0.072 g/L,7.0 mg/L SO2,24.0 mg/L SO2,1.00012 g/cm³,pH 3.09,0.68 g/L,10.9% vol,Score: 6
812,10.8 g/L,0.45 g/L,0.33 g/L,2.5 g/L,0.099 g/L,20.0 mg/L SO2,38.0 mg/L SO2,0.99818 g/cm³,pH 3.24,0.71 g/L,10.8% vol,Score: 5
813,6.9 g/L,0.39 g/L,0.24 g/L,2.1 g/L,0.102 g/L,4.0 mg/L SO2,7.0 mg/L SO2,0.99462 g/cm³,pH 3.44,0.58 g/L,11.4% vol,Score: 4
814,12.6 g/L,0.41 g/L,0.54 g/L,2.8 g/L,0.103 g/L,19.0 mg/L SO2,41.0 mg/L SO2,0.99939 g/cm³,pH 3.21,0.76 g/L,11.3% vol,Score: 6
815,10.8 g/L,0.45 g/L,0.33 g/L,2.5 g/L,0.099 g/L,20.0 mg/L SO2,38.0 mg/L SO2,0.99818 g/cm³,pH 3.24,0.71 g/L,10.8% vol,Score: 5
816,9.8 g/L,0.51 g/L,0.19 g/L,3.2 g/L,0.081 g/L,8.0 mg/L SO2,30.0 mg/L SO2,0.9984 g/cm³,pH 3.23,0.58 g/L,10.5% vol,Score: 6
817,10.8 g/L,0.29 g/L,0.42 g/L,1.6 g/L,0.084 g/L,19.0 mg/L SO2,27.0 mg/L SO2,0.99545 g/cm³,pH 3.28,0.73 g/L,11.9% vol,Score: 6
818,7.1 g/L,0.715 g/L,0.0 g/L,2.35 g/L,0.071 g/L,21.0 mg/L SO2,47.0 mg/L SO2,0.99632 g/cm³,pH 3.29,0.45 g/L,9.4% vol,Score: 5
819,9.1 g/L,0.66 g/L,0.15 g/L,3.2 g/L,0.097 g/L,9.0 mg/L SO2,59.0 mg/L SO2,0.99976 g/cm³,pH 3.28,0.54 g/L,9.6% vol,Score: 5
820,7.0 g/L,0.685 g/L,0.0 g/L,1.9 g/L,0.099 g/L,9.0 mg/L SO2,22.0 mg/L SO2,0.99606 g/cm³,pH 3.34,0.6 g/L,9.7% vol,Score: 5
821,4.9 g/L,0.42 g/L,0.0 g/L,2.1 g/L,0.048 g/L,16.0 mg/L SO2,42.0 mg/L SO2,0.99154 g/cm³,pH 3.71,0.74 g/L,14.0% vol,Score: 7
822,6.7 g/L,0.54 g/L,0.13 g/L,2.0 g/L,0.076 g/L,15.0 mg/L SO2,36.0 mg/L SO2,0.9973 g/cm³,pH 3.61,0.64 g/L,9.8% vol,Score: 5
823,6.7 g/L,0.54 g/L,0.13 g/L,2.0 g/L,0.076 g/L,15.0 mg/L SO2,36.0 mg/L SO2,0.9973 g/cm³,pH 3.61,0.64 g/L,9.8% vol,Score: 5
824,7.1 g/L,0.48 g/L,0.28 g/L,2.8 g/L,0.068 g/L,6.0 mg/L SO2,16.0 mg/L SO2,0.99682 g/cm³,pH 3.24,0.53 g/L,10.3% vol,Score: 5
825,7.1 g/L,0.46 g/L,0.14 g/L,2.8 g/L,0.076 g/L,15.0 mg/L SO2,37.0 mg/L SO2,0.99624 g/cm³,pH 3.36,0.49 g/L,10.7% vol,Score: 5
826,7.5 g/L,0.27 g/L,0.34 g/L,2.3 g/L,0.05 g/L,4.0 mg/L SO2,8.0 mg/L SO2,0.9951 g/cm³,pH 3.4,0.64 g/L,11.0% vol,Score: 7
827,7.1 g/L,0.46 g/L,0.14 g/L,2.8 g/L,0.076 g/L,15.0 mg/L SO2,37.0 mg/L SO2,0.99624 g/cm³,pH 3.36,0.49 g/L,10.7% vol,Score: 5
828,7.8 g/L,0.57 g/L,0.09 g/L,2.3 g/L,0.065 g/L,34.0 mg/L SO2,45.0 mg/L SO2,0.99417 g/cm³,pH 3.46,0.74 g/L,12.7% vol,Score: 8
829,5.9 g/L,0.61 g/L,0.08 g/L,2.1 g/L,0.071 g/L,16.0 mg/L SO2,24.0 mg/L SO2,0.99376 g/cm³,pH 3.56,0.77 g/L,11.1% vol,Score: 6
830,7.5 g/L,0.685 g/L,0.07 g/L,2.5 g/L,0.058 g/L,5.0 mg/L SO2,9.0 mg/L SO2,0.99632 g/cm³,pH 3.38,0.55 g/L,10.9% vol,Score: 4
831,5.9 g/L,0.61 g/L,0.08 g/L,2.1 g/L,0.071 g/L,16.0 mg/L SO2,24.0 mg/L SO2,0.99376 g/cm³,pH 3.56,0.77 g/L,11.1% vol,Score: 6
832,10.4 g/L,0.44 g/L,0.42 g/L,1.5 g/L,0.145 g/L,34.0 mg/L SO2,48.0 mg/L SO2,0.99832 g/cm³,pH 3.38,0.86 g/L,9.9% vol,Score: 3
833,11.6 g/L,0.47 g/L,0.44 g/L,1.6 g/L,0.147 g/L,36.0 mg/L SO2,51.0 mg/L SO2,0.99836 g/cm³,pH 3.38,0.86 g/L,9.9% vol,Score: 4
834,8.8 g/L,0.685 g/L,0.26 g/L,1.6 g/L,0.088 g/L,16.0 mg/L SO2,23.0 mg/L SO2,0.99694 g/cm³,pH 3.32,0.47 g/L,9.4% vol,Score: 5
835,7.6 g/L,0.665 g/L,0.1 g/L,1.5 g/L,0.066 g/L,27.0 mg/L SO2,55.0 mg/L SO2,0.99655 g/cm³,pH 3.39,0.51 g/L,9.3% vol,Score: 5
836,6.7 g/L,0.28 g/L,0.28 g/L,2.4 g/L,0.012 g/L,36.0 mg/L SO2,100.0 mg/L SO2,0.99064 g/cm³,pH 3.26,0.39 g/L,11.7% vol,Score: 7
837,6.7 g/L,0.28 g/L,0.28 g/L,2.4 g/L,0.012 g/L,36.0 mg/L SO2,100.0 mg/L SO2,0.99064 g/cm³,pH 3.26,0.39 g/L,11.7% vol,Score: 7
838,10.1 g/L,0.31 g/L,0.35 g/L,1.6 g/L,0.075 g/L,9.0 mg/L SO2,28.0 mg/L SO2,0.99672 g/cm³,pH 3.24,0.83 g/L,11.2% vol,Score: 7
839,6.0 g/L,0.5 g/L,0.04 g/L,2.2 g/L,0.092 g/L,13.0 mg/L SO2,26.0 mg/L SO2,0.99647 g/cm³,pH 3.46,0.47 g/L,10.0% vol,Score: 5
840,11.1 g/L,0.42 g/L,0.47 g/L,2.65 g/L,0.085 g/L,9.0 mg/L SO2,34.0 mg/L SO2,0.99736 g/cm³,pH 3.24,0.77 g/L,12.1% vol,Score: 7
841,6.6 g/L,0.66 g/L,0.0 g/L,3.0 g/L,0.115 g/L,21.0 mg/L SO2,31.0 mg/L SO2,0.99629 g/cm³,pH 3.45,0.63 g/L,10.3% vol,Score: 5
842,10.6 g/L,0.5 g/L,0.45 g/L,2.6 g/L,0.119 g/L,34.0 mg/L SO2,68.0 mg/L SO2,0.99708 g/cm³,pH 3.23,0.72 g/L,10.9% vol,Score: 6
843,7.1 g/L,0.685 g/L,0.35 g/L,2.0 g/L,0.088 g/L,9.0 mg/L SO2,92.0 mg/L SO2,0.9963 g/cm³,pH 3.28,0.62 g/L,9.4% vol,Score: 5
844,9.9 g/L,0.25 g/L,0.46 g/L,1.7 g/L,0.062 g/L,26.0 mg/L SO2,42.0 mg/L SO2,0.9959 g/cm³,pH 3.18,0.83 g/L,10.6% vol,Score: 6
845,6.4 g/L,0.64 g/L,0.21 g/L,1.8 g/L,0.081 g/L,14.0 mg/L SO2,31.0 mg/L SO2,0.99689 g/cm³,pH 3.59,0.66 g/L,9.8% vol,Score: 5
846,6.4 g/L,0.64 g/L,0.21 g/L,1.8 g/L,0.081 g/L,14.0 mg/L SO2,31.0 mg/L SO2,0.99689 g/cm³,pH 3.59,0.66 g/L,9.8% vol,Score: 5
847,7.4 g/L,0.68 g/L,0.16 g/L,1.8 g/L,0.078 g/L,12.0 mg/L SO2,39.0 mg/L SO2,0.9977 g/cm³,pH 3.5,0.7 g/L,9.9% vol,Score: 6
848,6.4 g/L,0.64 g/L,0.21 g/L,1.8 g/L,0.081 g/L,14.0 mg/L SO2,31.0 mg/L SO2,0.99689 g/cm³,pH 3.59,0.66 g/L,9.8% vol,Score: 5
849,6.4 g/L,0.63 g/L,0.21 g/L,1.6 g/L,0.08 g/L,12.0 mg/L SO2,32.0 mg/L SO2,0.99689 g/cm³,pH 3.58,0.66 g/L,9.8% vol,Score: 5
850,9.3 g/L,0.43 g/L,0.44 g/L,1.9 g/L,0.085 g/L,9.0 mg/L SO2,22.0 mg/L SO2,0.99708 g/cm³,pH 3.28,0.55 g/L,9.5% vol,Score: 5
851,9.3 g/L,0.43 g/L,0.44 g/L,1.9 g/L,0.085 g/L,9.0 mg/L SO2,22.0 mg/L SO2,0.99708 g/cm³,pH 3.28,0.55 g/L,9.5% vol,Score: 5
852,8.0 g/L,0.42 g/L,0.32 g/L,2.5 g/L,0.08 g/L,26.0 mg/L SO2,122.0 mg/L SO2,0.99801 g/cm³,pH 3.22,1.07 g/L,9.7% vol,Score: 5
853,9.3 g/L,0.36 g/L,0.39 g/L,1.5 g/L,0.08 g/L,41.0 mg/L SO2,55.0 mg/L SO2,0.99652 g/cm³,pH 3.47,0.73 g/L,10.9% vol,Score: 6
854,9.3 g/L,0.36 g/L,0.39 g/L,1.5 g/L,0.08 g/L,41.0 mg/L SO2,55.0 mg/L SO2,0.99652 g/cm³,pH 3.47,0.73 g/L,10.9% vol,Score: 6
855,7.6 g/L,0.735 g/L,0.02 g/L,2.5 g/L,0.071 g/L,10.0 mg/L SO2,14.0 mg/L SO2,0.99538 g/cm³,pH 3.51,0.71 g/L,11.7% vol,Score: 7
856,9.3 g/L,0.36 g/L,0.39 g/L,1.5 g/L,0.08 g/L,41.0 mg/L SO2,55.0 mg/L SO2,0.99652 g/cm³,pH 3.47,0.73 g/L,10.9% vol,Score: 6
857,8.2 g/L,0.26 g/L,0.34 g/L,2.5 g/L,0.073 g/L,16.0 mg/L SO2,47.0 mg/L SO2,0.99594 g/cm³,pH 3.4,0.78 g/L,11.3% vol,Score: 7
858,11.7 g/L,0.28 g/L,0.47 g/L,1.7 g/L,0.054 g/L,17.0 mg/L SO2,32.0 mg/L SO2,0.99686 g/cm³,pH 3.15,0.67 g/L,10.6% vol,Score: 7
859,6.8 g/L,0.56 g/L,0.22 g/L,1.8 g/L,0.074 g/L,15.0 mg/L SO2,24.0 mg/L SO2,0.99438 g/cm³,pH 3.4,0.82 g/L,11.2% vol,Score: 6
860,7.2 g/L,0.62 g/L,0.06 g/L,2.7 g/L,0.077 g/L,15.0 mg/L SO2,85.0 mg/L SO2,0.99746 g/cm³,pH 3.51,0.54 g/L,9.5% vol,Score: 5
861,5.8 g/L,1.01 g/L,0.66 g/L,2.0 g/L,0.039 g/L,15.0 mg/L SO2,88.0 mg/L SO2,0.99357 g/cm³,pH 3.66,0.6 g/L,11.5% vol,Score: 6
862,7.5 g/L,0.42 g/L,0.32 g/L,2.7 g/L,0.067 g/L,7.0 mg/L SO2,25.0 mg/L SO2,0.99628 g/cm³,pH 3.24,0.44 g/L,10.4% vol,Score: 5
863,7.2 g/L,0.62 g/L,0.06 g/L,2.5 g/L,0.078 g/L,17.0 mg/L SO2,84.0 mg/L SO2,0.99746 g/cm³,pH 3.51,0.53 g/L,9.7% vol,Score: 5
864,7.2 g/L,0.62 g/L,0.06 g/L,2.7 g/L,0.077 g/L,15.0 mg/L SO2,85.0 mg/L SO2,0.99746 g/cm³,pH 3.51,0.54 g/L,9.5% vol,Score: 5
865,7.2 g/L,0.635 g/L,0.07 g/L,2.6 g/L,0.077 g/L,16.0 mg/L SO2,86.0 mg/L SO2,0.99748 g/cm³,pH 3.51,0.54 g/L,9.7% vol,Score: 5
866,6.8 g/L,0.49 g/L,0.22 g/L,2.3 g/L,0.071 g/L,13.0 mg/L SO2,24.0 mg/L SO2,0.99438 g/cm³,pH 3.41,0.83 g/L,11.3% vol,Score: 6
867,6.9 g/L,0.51 g/L,0.23 g/L,2.0 g/L,0.072 g/L,13.0 mg/L SO2,22.0 mg/L SO2,0.99438 g/cm³,pH 3.4,0.84 g/L,11.2% vol,Score: 6
868,6.8 g/L,0.56 g/L,0.22 g/L,1.8 g/L,0.074 g/L,15.0 mg/L SO2,24.0 mg/L SO2,0.99438 g/cm³,pH 3.4,0.82 g/L,11.2% vol,Score: 6
869,7.6 g/L,0.63 g/L,0.03 g/L,2.0 g/L,0.08 g/L,27.0 mg/L SO2,43.0 mg/L SO2,0.99578 g/cm³,pH 3.44,0.64 g/L,10.9% vol,Score: 6
870,7.7 g/L,0.715 g/L,0.01 g/L,2.1 g/L,0.064 g/L,31.0 mg/L SO2,43.0 mg/L SO2,0.99371 g/cm³,pH 3.41,0.57 g/L,11.8% vol,Score: 6
871,6.9 g/L,0.56 g/L,0.03 g/L,1.5 g/L,0.086 g/L,36.0 mg/L SO2,46.0 mg/L SO2,0.99522 g/cm³,pH 3.53,0.57 g/L,10.6% vol,Score: 5
872,7.3 g/L,0.35 g/L,0.24 g/L,2.0 g/L,0.067 g/L,28.0 mg/L SO2,48.0 mg/L SO2,0.99576 g/cm³,pH 3.43,0.54 g/L,10.0% vol,Score: 4
873,9.1 g/L,0.21 g/L,0.37 g/L,1.6 g/L,0.067 g/L,6.0 mg/L SO2,10.0 mg/L SO2,0.99552 g/cm³,pH 3.23,0.58 g/L,11.1% vol,Score: 7
874,10.4 g/L,0.38 g/L,0.46 g/L,2.1 g/L,0.104 g/L,6.0 mg/L SO2,10.0 mg/L SO2,0.99664 g/cm³,pH 3.12,0.65 g/L,11.8% vol,Score: 7
875,8.8 g/L,0.31 g/L,0.4 g/L,2.8 g/L,0.109 g/L,7.0 mg/L SO2,16.0 mg/L SO2,0.99614 g/cm³,pH 3.31,0.79 g/L,11.8% vol,Score: 7
876,7.1 g/L,0.47 g/L,0.0 g/L,2.2 g/L,0.067 g/L,7.0 mg/L SO2,14.0 mg/L SO2,0.99517 g/cm³,pH 3.4,0.58 g/L,10.9% vol,Score: 4
877,7.7 g/L,0.715 g/L,0.01 g/L,2.1 g/L,0.064 g/L,31.0 mg/L SO2,43.0 mg/L SO2,0.99371 g/cm³,pH 3.41,0.57 g/L,11.8% vol,Score: 6
878,8.8 g/L,0.61 g/L,0.19 g/L,4.0 g/L,0.094 g/L,30.0 mg/L SO2,69.0 mg/L SO2,0.99787 g/cm³,pH 3.22,0.5 g/L,10.0% vol,Score: 6
879,7.2 g/L,0.6 g/L,0.04 g/L,2.5 g/L,0.076 g/L,18.0 mg/L SO2,88.0 mg/L SO2,0.99745 g/cm³,pH 3.53,0.55 g/L,9.5% vol,Score: 5
880,9.2 g/L,0.56 g/L,0.18 g/L,1.6 g/L,0.078 g/L,10.0 mg/L SO2,21.0 mg/L SO2,0.99576 g/cm³,pH 3.15,0.49 g/L,9.9% vol,Score: 5
881,7.6 g/L,0.715 g/L,0.0 g/L,2.1 g/L,0.068 g/L,30.0 mg/L SO2,35.0 mg/L SO2,0.99533 g/cm³,pH 3.48,0.65 g/L,11.4% vol,Score: 6
882,8.4 g/L,0.31 g/L,0.29 g/L,3.1 g/L,0.194 g/L,14.0 mg/L SO2,26.0 mg/L SO2,0.99536 g/cm³,pH 3.22,0.78 g/L,12.0% vol,Score: 6
883,7.2 g/L,0.6 g/L,0.04 g/L,2.5 g/L,0.076 g/L,18.0 mg/L SO2,88.0 mg/L SO2,0.99745 g/cm³,pH 3.53,0.55 g/L,9.5% vol,Score: 5
884,8.8 g/L,0.61 g/L,0.19 g/L,4.0 g/L,0.094 g/L,30.0 mg/L SO2,69.0 mg/L SO2,0.99787 g/cm³,pH 3.22,0.5 g/L,10.0% vol,Score: 6
885,8.9 g/L,0.75 g/L,0.14 g/L,2.5 g/L,0.086 g/L,9.0 mg/L SO2,30.0 mg/L SO2,0.99824 g/cm³,pH 3.34,0.64 g/L,10.5% vol,Score: 5
886,9.0 g/L,0.8 g/L,0.12 g/L,2.4 g/L,0.083 g/L,8.0 mg/L SO2,28.0 mg/L SO2,0.99836 g/cm³,pH 3.33,0.65 g/L,10.4% vol,Score: 6
887,10.7 g/L,0.52 g/L,0.38 g/L,2.6 g/L,0.066 g/L,29.0 mg/L SO2,56.0 mg/L SO2,0.99577 g/cm³,pH 3.15,0.79 g/L,12.1% vol,Score: 7
888,6.8 g/L,0.57 g/L,0.0 g/L,2.5 g/L,0.072 g/L,32.0 mg/L SO2,64.0 mg/L SO2,0.99491 g/cm³,pH 3.43,0.56 g/L,11.2% vol,Score: 6
889,10.7 g/L,0.9 g/L,0.34 g/L,6.6 g/L,0.112 g/L,23.0 mg/L SO2,99.0 mg/L SO2,1.00289 g/cm³,pH 3.22,0.68 g/L,9.3% vol,Score: 5
890,7.2 g/L,0.34 g/L,0.24 g/L,2.0 g/L,0.071 g/L,30.0 mg/L SO2,52.0 mg/L SO2,0.99576 g/cm³,pH 3.44,0.58 g/L,10.1% vol,Score: 5
891,7.2 g/L,0.66 g/L,0.03 g/L,2.3 g/L,0.078 g/L,16.0 mg/L SO2,86.0 mg/L SO2,0.99743 g/cm³,pH 3.53,0.57 g/L,9.7% vol,Score: 5
892,10.1 g/L,0.45 g/L,0.23 g/L,1.9 g/L,0.082 g/L,10.0 mg/L SO2,18.0 mg/L SO2,0.99774 g/cm³,pH 3.22,0.65 g/L,9.3% vol,Score: 6
893,7.2 g/L,0.66 g/L,0.03 g/L,2.3 g/L,0.078 g/L,16.0 mg/L SO2,86.0 mg/L SO2,0.99743 g/cm³,pH 3.53,0.57 g/L,9.7% vol,Score: 5
894,7.2 g/L,0.63 g/L,0.03 g/L,2.2 g/L,0.08 g/L,17.0 mg/L SO2,88.0 mg/L SO2,0.99745 g/cm³,pH 3.53,0.58 g/L,9.8% vol,Score: 6
895,7.1 g/L,0.59 g/L,0.01 g/L,2.3 g/L,0.08 g/L,27.0 mg/L SO2,43.0 mg/L SO2,0.9955 g/cm³,pH 3.42,0.58 g/L,10.7% vol,Score: 6
896,8.3 g/L,0.31 g/L,0.39 g/L,2.4 g/L,0.078 g/L,17.0 mg/L SO2,43.0 mg/L SO2,0.99444 g/cm³,pH 3.31,0.77 g/L,12.5% vol,Score: 7
897,7.1 g/L,0.59 g/L,0.01 g/L,2.3 g/L,0.08 g/L,27.0 mg/L SO2,43.0 mg/L SO2,0.9955 g/cm³,pH 3.42,0.58 g/L,10.7% vol,Score: 6
898,8.3 g/L,0.31 g/L,0.39 g/L,2.4 g/L,0.078 g/L,17.0 mg/L SO2,43.0 mg/L SO2,0.99444 g/cm³,pH 3.31,0.77 g/L,12.5% vol,Score: 7
899,8.3 g/L,1.02 g/L,0.02 g/L,3.4 g/L,0.084 g/L,6.0 mg/L SO2,11.0 mg/L SO2,0.99892 g/cm³,pH 3.48,0.49 g/L,11.0% vol,Score: 3
900,8.9 g/L,0.31 g/L,0.36 g/L,2.6 g/L,0.056 g/L,10.0 mg/L SO2,39.0 mg/L SO2,0.99562 g/cm³,pH 3.4,0.69 g/L,11.8% vol,Score: 5
901,7.4 g/L,0.635 g/L,0.1 g/L,2.4 g/L,0.08 g/L,16.0 mg/L SO2,33.0 mg/L SO2,0.99736 g/cm³,pH 3.58,0.69 g/L,10.8% vol,Score: 7
902,7.4 g/L,0.635 g/L,0.1 g/L,2.4 g/L,0.08 g/L,16.0 mg/L SO2,33.0 mg/L SO2,0.99736 g/cm³,pH 3.58,0.69 g/L,10.8% vol,Score: 7
903,6.8 g/L,0.59 g/L,0.06 g/L,6.0 g/L,0.06 g/L,11.0 mg/L SO2,18.0 mg/L SO2,0.9962 g/cm³,pH 3.41,0.59 g/L,10.8% vol,Score: 7
904,6.8 g/L,0.59 g/L,0.06 g/L,6.0 g/L,0.06 g/L,11.0 mg/L SO2,18.0 mg/L SO2,0.9962 g/cm³,pH 3.41,0.59 g/L,10.8% vol,Score: 7
905,9.2 g/L,0.58 g/L,0.2 g/L,3.0 g/L,0.081 g/L,15.0 mg/L SO2,115.0 mg/L SO2,0.998 g/cm³,pH 3.23,0.59 g/L,9.5% vol,Score: 5
906,7.2 g/L,0.54 g/L,0.27 g/L,2.6 g/L,0.084 g/L,12.0 mg/L SO2,78.0 mg/L SO2,0.9964 g/cm³,pH 3.39,0.71 g/L,11.0% vol,Score: 5
907,6.1 g/L,0.56 g/L,0.0 g/L,2.2 g/L,0.079 g/L,6.0 mg/L SO2,9.0 mg/L SO2,0.9948 g/cm³,pH 3.59,0.54 g/L,11.5% vol,Score: 6
908,7.4 g/L,0.52 g/L,0.13 g/L,2.4 g/L,0.078 g/L,34.0 mg/L SO2,61.0 mg/L SO2,0.99528 g/cm³,pH 3.43,0.59 g/L,10.8% vol,Score: 6
909,7.3 g/L,0.305 g/L,0.39 g/L,1.2 g/L,0.059 g/L,7.0 mg/L SO2,11.0 mg/L SO2,0.99331 g/cm³,pH 3.29,0.52 g/L,11.5% vol,Score: 6
910,9.3 g/L,0.38 g/L,0.48 g/L,3.8 g/L,0.132 g/L,3.0 mg/L SO2,11.0 mg/L SO2,0.99577 g/cm³,pH 3.23,0.57 g/L,13.2% vol,Score: 6
911,9.1 g/L,0.28 g/L,0.46 g/L,9.0 g/L,0.114 g/L,3.0 mg/L SO2,9.0 mg/L SO2,0.99901 g/cm³,pH 3.18,0.6 g/L,10.9% vol,Score: 6
912,10.0 g/L,0.46 g/L,0.44 g/L,2.9 g/L,0.065 g/L,4.0 mg/L SO2,8.0 mg/L SO2,0.99674 g/cm³,pH 3.33,0.62 g/L,12.2% vol,Score: 6
913,9.4 g/L,0.395 g/L,0.46 g/L,4.6 g/L,0.094 g/L,3.0 mg/L SO2,10.0 mg/L SO2,0.99639 g/cm³,pH 3.27,0.64 g/L,12.2% vol,Score: 7
914,7.3 g/L,0.305 g/L,0.39 g/L,1.2 g/L,0.059 g/L,7.0 mg/L SO2,11.0 mg/L SO2,0.99331 g/cm³,pH 3.29,0.52 g/L,11.5% vol,Score: 6
915,8.6 g/L,0.315 g/L,0.4 g/L,2.2 g/L,0.079 g/L,3.0 mg/L SO2,6.0 mg/L SO2,0.99512 g/cm³,pH 3.27,0.67 g/L,11.9% vol,Score: 6
916,5.3 g/L,0.715 g/L,0.19 g/L,1.5 g/L,0.161 g/L,7.0 mg/L SO2,62.0 mg/L SO2,0.99395 g/cm³,pH 3.62,0.61 g/L,11.0% vol,Score: 5
917,6.8 g/L,0.41 g/L,0.31 g/L,8.8 g/L,0.084 g/L,26.0 mg/L SO2,45.0 mg/L SO2,0.99824 g/cm³,pH 3.38,0.64 g/L,10.1% vol,Score: 6
918,8.4 g/L,0.36 g/L,0.32 g/L,2.2 g/L,0.081 g/L,32.0 mg/L SO2,79.0 mg/L SO2,0.9964 g/cm³,pH 3.3,0.72 g/L,11.0% vol,Score: 6
919,8.4 g/L,0.62 g/L,0.12 g/L,1.8 g/L,0.072 g/L,38.0 mg/L SO2,46.0 mg/L SO2,0.99504 g/cm³,pH 3.38,0.89 g/L,11.8% vol,Score: 6
920,9.6 g/L,0.41 g/L,0.37 g/L,2.3 g/L,0.091 g/L,10.0 mg/L SO2,23.0 mg/L SO2,0.99786 g/cm³,pH 3.24,0.56 g/L,10.5% vol,Score: 5
921,8.4 g/L,0.36 g/L,0.32 g/L,2.2 g/L,0.081 g/L,32.0 mg/L SO2,79.0 mg/L SO2,0.9964 g/cm³,pH 3.3,0.72 g/L,11.0% vol,Score: 6
922,8.4 g/L,0.62 g/L,0.12 g/L,1.8 g/L,0.072 g/L,38.0 mg/L SO2,46.0 mg/L SO2,0.99504 g/cm³,pH 3.38,0.89 g/L,11.8% vol,Score: 6
923,6.8 g/L,0.41 g/L,0.31 g/L,8.8 g/L,0.084 g/L,26.0 mg/L SO2,45.0 mg/L SO2,0.99824 g/cm³,pH 3.38,0.64 g/L,10.1% vol,Score: 6
924,8.6 g/L,0.47 g/L,0.27 g/L,2.3 g/L,0.055 g/L,14.0 mg/L SO2,28.0 mg/L SO2,0.99516 g/cm³,pH 3.18,0.8 g/L,11.2% vol,Score: 5
925,8.6 g/L,0.22 g/L,0.36 g/L,1.9 g/L,0.064 g/L,53.0 mg/L SO2,77.0 mg/L SO2,0.99604 g/cm³,pH 3.47,0.87 g/L,11.0% vol,Score: 7
926,9.4 g/L,0.24 g/L,0.33 g/L,2.3 g/L,0.061 g/L,52.0 mg/L SO2,73.0 mg/L SO2,0.99786 g/cm³,pH 3.47,0.9 g/L,10.2% vol,Score: 6
927,8.4 g/L,0.67 g/L,0.19 g/L,2.2 g/L,0.093 g/L,11.0 mg/L SO2,75.0 mg/L SO2,0.99736 g/cm³,pH 3.2,0.59 g/L,9.2% vol,Score: 4
928,8.6 g/L,0.47 g/L,0.27 g/L,2.3 g/L,0.055 g/L,14.0 mg/L SO2,28.0 mg/L SO2,0.99516 g/cm³,pH 3.18,0.8 g/L,11.2% vol,Score: 5
929,8.7 g/L,0.33 g/L,0.38 g/L,3.3 g/L,0.063 g/L,10.0 mg/L SO2,19.0 mg/L SO2,0.99468 g/cm³,pH 3.3,0.73 g/L,12.0% vol,Score: 7
930,6.6 g/L,0.61 g/L,0.01 g/L,1.9 g/L,0.08 g/L,8.0 mg/L SO2,25.0 mg/L SO2,0.99746 g/cm³,pH 3.69,0.73 g/L,10.5% vol,Score: 5
931,7.4 g/L,0.61 g/L,0.01 g/L,2.0 g/L,0.074 g/L,13.0 mg/L SO2,38.0 mg/L SO2,0.99748 g/cm³,pH 3.48,0.65 g/L,9.8% vol,Score: 5
932,7.6 g/L,0.4 g/L,0.29 g/L,1.9 g/L,0.078 g/L,29.0 mg/L SO2,66.0 mg/L SO2,0.9971 g/cm³,pH 3.45,0.59 g/L,9.5% vol,Score: 6
933,7.4 g/L,0.61 g/L,0.01 g/L,2.0 g/L,0.074 g/L,13.0 mg/L SO2,38.0 mg/L SO2,0.99748 g/cm³,pH 3.48,0.65 g/L,9.8% vol,Score: 5
934,6.6 g/L,0.61 g/L,0.01 g/L,1.9 g/L,0.08 g/L,8.0 mg/L SO2,25.0 mg/L SO2,0.99746 g/cm³,pH 3.69,0.73 g/L,10.5% vol,Score: 5
935,8.8 g/L,0.3 g/L,0.38 g/L,2.3 g/L,0.06 g/L,19.0 mg/L SO2,72.0 mg/L SO2,0.99543 g/cm³,pH 3.39,0.72 g/L,11.8% vol,Score: 6
936,8.8 g/L,0.3 g/L,0.38 g/L,2.3 g/L,0.06 g/L,19.0 mg/L SO2,72.0 mg/L SO2,0.99543 g/cm³,pH 3.39,0.72 g/L,11.8% vol,Score: 6
937,12.0 g/L,0.63 g/L,0.5 g/L,1.4 g/L,0.071 g/L,6.0 mg/L SO2,26.0 mg/L SO2,0.99791 g/cm³,pH 3.07,0.6 g/L,10.4% vol,Score: 4
938,7.2 g/L,0.38 g/L,0.38 g/L,2.8 g/L,0.068 g/L,23.0 mg/L SO2,42.0 mg/L SO2,0.99356 g/cm³,pH 3.34,0.72 g/L,12.9% vol,Score: 7
939,6.2 g/L,0.46 g/L,0.17 g/L,1.6 g/L,0.073 g/L,7.0 mg/L SO2,11.0 mg/L SO2,0.99425 g/cm³,pH 3.61,0.54 g/L,11.4% vol,Score: 5
940,9.6 g/L,0.33 g/L,0.52 g/L,2.2 g/L,0.074 g/L,13.0 mg/L SO2,25.0 mg/L SO2,0.99509 g/cm³,pH 3.36,0.76 g/L,12.4% vol,Score: 7
941,9.9 g/L,0.27 g/L,0.49 g/L,5.0 g/L,0.082 g/L,9.0 mg/L SO2,17.0 mg/L SO2,0.99484 g/cm³,pH 3.19,0.52 g/L,12.5% vol,Score: 7
